DR_NO,DATE OCC,Date Rptd,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,LOCATION,LAT,LON,SexualAssault,Age_Group,DATE_OCC_dt,datetime_occurrence,Premise_Category
210317121,10/08/2021 12:00:00 AM,10/09/2021 12:00:00 AM,1600,3,Southwest,374,121,"RAPE, FORCIBLE",47,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",MARTIN LUTHER KING JR        BL,34.0108,-118.3182,1,45+,2021-10-08,2021-10-08 16:00:00,Indoor
211808799,04/09/2021 12:00:00 AM,04/09/2021 12:00:00 AM,2230,18,Southeast,1881,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,47,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",16400 S  ORCHARD                      AV,33.8817,-118.2881,1,45+,2021-04-09,2021-04-09 22:30:00,Indoor
210109402,04/25/2021 12:00:00 AM,04/25/2021 12:00:00 AM,330,1,Central,157,121,"RAPE, FORCIBLE",31,F,H,102.0,SIDEWALK,5TH,34.0435,-118.2427,1,30-44,2021-04-25,2021-04-25 03:30:00,Outdoor
211811377,06/01/2021 12:00:00 AM,06/01/2021 12:00:00 AM,1455,18,Southeast,1846,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,O,101.0,STREET,IMPERIAL                     HY,33.9295,-118.2542,1,18-29,2021-06-01,2021-06-01 14:55:00,Outdoor
211114715,10/28/2021 12:00:00 AM,10/29/2021 12:00:00 AM,2000,11,Northeast,1126,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,41,F,W,108.0,PARKING LOT,5200    YORK                         BL,34.1206,-118.2023,1,30-44,2021-10-28,2021-10-28 20:00:00,Outdoor
211213208,06/01/2021 12:00:00 AM,06/01/2021 12:00:00 AM,1140,12,77th Street,1273,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,38,F,B,501.0,SINGLE FAMILY DWELLING,9000 S  NORMANDIE                    AV,33.9564,-118.309,1,30-44,2021-06-01,2021-06-01 11:40:00,Indoor
221705724,10/01/2021 12:00:00 AM,02/19/2022 12:00:00 AM,1700,17,Devonshire,1782,121,"RAPE, FORCIBLE",43,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",19400    PARTHENIA                    ST,34.2312,-118.5632,1,30-44,2021-10-01,2021-10-01 17:00:00,Indoor
210100892,10/16/2021 12:00:00 AM,10/18/2021 12:00:00 AM,2000,1,Central,156,121,"RAPE, FORCIBLE",44,F,H,102.0,SIDEWALK,6TH,34.0435,-118.2471,1,30-44,2021-10-16,2021-10-16 20:00:00,Outdoor
210600629,07/22/2021 12:00:00 AM,07/22/2021 12:00:00 AM,400,6,Hollywood,631,121,"RAPE, FORCIBLE",17,F,W,501.0,SINGLE FAMILY DWELLING,9300    FLICKER                      WY,34.0968,-118.3942,1,<18,2021-07-22,2021-07-22 04:00:00,Indoor
211010377,07/19/2021 12:00:00 AM,07/19/2021 12:00:00 AM,935,10,West Valley,1024,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,38,F,W,203.0,OTHER BUSINESS,6600    RESEDA                       BL,34.1958,-118.5399,1,30-44,2021-07-19,2021-07-19 09:35:00,Other
210214430,09/09/2021 12:00:00 AM,09/09/2021 12:00:00 AM,1330,2,Rampart,279,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,18,F,B,101.0,STREET,1000    VALENCIA                     ST,34.048,-118.2727,1,18-29,2021-09-09,2021-09-09 13:30:00,Outdoor
210506223,02/25/2021 12:00:00 AM,02/25/2021 12:00:00 AM,2140,5,Harbor,587,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,28,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3700 S  PACIFIC                      AV,33.7136,-118.2904,1,18-29,2021-02-25,2021-02-25 21:40:00,Indoor
210510642,06/23/2021 12:00:00 AM,06/23/2021 12:00:00 AM,2330,5,Harbor,557,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,25,F,B,104.0,DRIVEWAY,500 W  1ST                          ST,33.7433,-118.2882,1,18-29,2021-06-23,2021-06-23 23:30:00,Other/Uncategorized
211110123,06/26/2021 12:00:00 AM,06/26/2021 12:00:00 AM,600,11,Northeast,1142,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,42,F,W,101.0,STREET,FRANKLIN,34.1054,-118.2874,1,30-44,2021-06-26,2021-06-26 06:00:00,Outdoor
210509290,05/18/2021 12:00:00 AM,05/18/2021 12:00:00 AM,2200,5,Harbor,501,860,BATTERY WITH SEXUAL CONTACT,45,F,B,116.0,OTHER/OUTSIDE,500 W  190TH                        ST,33.8626,-118.282,1,45+,2021-05-18,2021-05-18 22:00:00,Other
210613654,08/02/2021 12:00:00 AM,08/02/2021 12:00:00 AM,145,6,Hollywood,643,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,34,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1500 N  DETROIT                      ST,34.098,-118.3456,1,30-44,2021-08-02,2021-08-02 01:45:00,Indoor
211811732,05/29/2021 12:00:00 AM,06/09/2021 12:00:00 AM,2300,18,Southeast,1846,121,"RAPE, FORCIBLE",59,F,H,501.0,SINGLE FAMILY DWELLING,1400 E  114TH                        ST,33.9311,-118.2493,1,45+,2021-05-29,2021-05-29 23:00:00,Indoor
210507834,04/08/2021 12:00:00 AM,04/11/2021 12:00:00 AM,2300,5,Harbor,507,860,BATTERY WITH SEXUAL CONTACT,30,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1400 W  224TH                        ST,33.8234,-118.3038,1,30-44,2021-04-08,2021-04-08 23:00:00,Indoor
211818714,09/02/2021 12:00:00 AM,10/18/2021 12:00:00 AM,1730,18,Southeast,1842,121,"RAPE, FORCIBLE",14,F,H,109.0,PARK/PLAYGROUND,200 E  111TH                        PL,33.9339,-118.2715,1,<18,2021-09-02,2021-09-02 17:30:00,Outdoor
211819021,10/25/2021 12:00:00 AM,10/25/2021 12:00:00 AM,730,18,Southeast,1863,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,26,M,H,501.0,SINGLE FAMILY DWELLING,600 E  116TH                        ST,33.9292,-118.2622,1,18-29,2021-10-25,2021-10-25 07:30:00,Indoor
211400537,01/15/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2330,14,Pacific,1488,121,"RAPE, FORCIBLE",26,F,W,503.0,HOTEL,9700    AIRPORT                      BL,33.9479,-118.386,1,18-29,2021-01-15,2021-01-15 23:30:00,Other/Uncategorized
211204450,01/07/2021 12:00:00 AM,01/07/2021 12:00:00 AM,2315,12,77th Street,1251,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,44,F,H,102.0,SIDEWALK,7200    BRYNHURST                    AV,33.9737,-118.3341,1,30-44,2021-01-07,2021-01-07 23:15:00,Outdoor
212007761,04/06/2021 12:00:00 AM,04/06/2021 12:00:00 AM,640,20,Olympic,2079,860,BATTERY WITH SEXUAL CONTACT,35,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1400    MAGNOLIA                     AV,34.0453,-118.2864,1,30-44,2021-04-06,2021-04-06 06:40:00,Indoor
211820545,11/24/2021 12:00:00 AM,11/25/2021 12:00:00 AM,1800,18,Southeast,1863,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0,F,B,101.0,STREET,300 E  120TH                        ST,33.9237,-118.2696,1,<18,2021-11-24,2021-11-24 18:00:00,Outdoor
211008048,05/15/2021 12:00:00 AM,05/15/2021 12:00:00 AM,320,10,West Valley,1063,860,BATTERY WITH SEXUAL CONTACT,27,F,H,101.0,STREET,18600    BURBANK                      BL,34.1724,-118.5379,1,18-29,2021-05-15,2021-05-15 03:20:00,Outdoor
211708059,05/02/2021 12:00:00 AM,05/02/2021 12:00:00 AM,2300,17,Devonshire,1752,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,27,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",10000    DE SOTO                      AV,34.2518,-118.5886,1,18-29,2021-05-02,2021-05-02 23:00:00,Indoor
212108452,02/10/2021 12:00:00 AM,04/29/2021 12:00:00 AM,1,21,Topanga,2158,121,"RAPE, FORCIBLE",32,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",6300    DE SOTO                      AV,34.1847,-118.5886,1,30-44,2021-02-10,2021-02-10 00:01:00,Indoor
